airport_a,airport_b,flights_per_day,straight_km,rail_km,detour_ratio,class,excess_km
LAX,SFO,84.0,671.1834410847191,766.5457091453877,1.142080781830003,Good,95.3622680606686
DEN,PHX,69.0,1209.4886465112095,1635.7388401351332,1.3524218229360396,Okay,426.2501936239237
JFK,LAX,66.0,5056.118924296384,6054.34675842859,1.197429658811105,Good,998.2278341322067
LAS,LAX,64.0,464.8531289485706,540.9762543472547,1.1637573690659313,Good,76.12312539868407
BOS,DCA,61.0,846.5950889397794,957.3838003528143,1.1308638720687354,Good,110.78871141303493
ATL,FLL,60.0,1082.7692211215008,1234.9245706120432,1.1405242654874732,Good,152.15534949054242
LGA,ORD,59.0,1572.2457186277632,1939.2439747798744,1.233422964237691,Good,366.9982561521111
ATL,MCO,58.0,761.0597862878592,832.2814248796151,1.0935821861501134,Good,71.22163859175588
PHX,SEA,57.0,2359.885825870458,3173.288817086427,1.3446789595915898,Good,813.402991215969
LAX,PHX,54.0,715.3279482093083,762.3689696460416,1.0657614756343463,Good,47.04102143673342
DEN,LAS,51.0,1282.563473253592,1882.0932213012777,1.4674464543472499,Okay,599.5297480476855
MCO,ORD,49.0,1993.9282423923519,2285.917577748963,1.1464392394614347,Good,291.9893353566113
EWR,MCO,49.0,1843.0548390216645,2458.1719662905957,1.3337486841115642,Good,615.1171272689313
DEN,SLC,48.0,824.5843640050401,1022.2024202041521,1.239657777694538,Good,197.61805619911198
BOS,ORD,47.0,1882.451328418777,2401.504607478462,1.2757326424453586,Good,519.0532790596849
LAX,SEA,47.0,2041.6088517799503,2431.6285020716737,1.1910354424412344,Good,390.0196502917232
DEN,LAX,47.0,1736.898224442362,2388.301349487566,1.37503816624278,Okay,651.4031250452039
ATL,DFW,45.0,1407.4893849077614,1965.8976398420466,1.396740651064221,Okay,558.4082549342853
DCA,ORD,44.0,1293.330454060497,1507.0624859502261,1.1652570935901982,Good,213.7320318897292
PHX,SLC,24.0,1028.3279549419044,1382.3205695491104,1.344240971867,Good,353.99261460720584
ATL,LGA,23.0,1542.0428643866392,1707.826359391073,1.10750900563998,Good,165.78349500443392
MSP,ORD,23.0,741.0617997491211,839.0606281183237,1.1322411010827695,Good,97.99882836920267
ATL,MIA,22.0,1107.1638705615992,1281.9394968528854,1.1578588598656427,Good,174.7756262912862
DFW,LAX,22.0,2382.752104104863,3058.335397060521,1.2835306668250563,Good,675.583292955658
ORD,PHX,22.0,2941.0347646675323,3743.297915062551,1.2727826138041962,Good,802.2631503950186
